"순번","민원제목","민원내용","민원등록일","민원수정일","민원답변일","처리부서","진행상태","민원인주소_법정동"
42,"보도블럭 제초","버스 출퇴근하는 평범한 여자 직장인입니다.버스로 출퇴근 하다보니 여러 기사님들을 많이 뵙게 되는데요.제가 뵌 버스기사님들 중에 3~4분 정도는 굉장히 불친절하셨는데요.어르신분들은 거동이 불편하셔서 걸음이 느리십니다. 하지만 어느 기사님은 그런 어르신에게 윽박을 지르며 얼른 앉으라고 하시는 분도 계시고, 어떤버스기사님은버스 내부를 청소하시다가 승객 하차하는 문쪽에서 빗자루로 쓰시다가 바닥에 있던 사탕막대기를 밖으로 튕겨내시다가 버스를 타려던 저를 빗겨나가며 막대기가 위협적으로 날라갔는데 사과는 커녕 놀라시지도 않으시더군요.오늘은 버스를 타려고 정류장에 앉아서 쉬시던 기사님께 """"""""기사님 버스 몇분차에요?"""""""" 라고 물어봤는데 통화를 하시다가 저를 쳐다보기만 하시고 말씀도 안해주시고 아예 무시하시더군요. 그래서 전 택시를 타고 이동을 해야만 했습니다.제가 받은 무시들을 채 다 못적었지만 너무 황당하고 불편하기 그지 없습니다. 네이버에 검색해보니 평택같은 경우는 친절교육 및 안전교육을 분기마다 시행한다고 하는데 전주나 익산이나 기사님들 불친절 하다는 말은 어딜가도 나오네요.제 친척분도 다른 지역 버스기사님이라서버스기사님들께 예의를 갖추고 인사를 더 잘하곤 했었는데, 이런 불친절엔 정말 참을수가 없네요 익산도 친절교육 및 안전교육이 몹시 필요할것 같습니다. ","2018-05-09","2018-05-09","2018-05-10","투자유치과","처리완료","부안읍"
43,"부송동 볼링장 앞 불법주차","아침마다 부송동 2공단 사거리에서 우회전을 하려해도 2차선에 불법주차된 차량으로 인해 한참을 기다려야하고 접촉사고의 위험도 있습니다.(부송볼링장앞 ) 바쁜 아침시간에 이러한 불법주차주차 차량으로 소중한 시간을 뺏는 얌체운전자들에게 기초질서를 주지시키는 차원에서 강력한 단속을 하여 주시기 바랍니다.","2017-06-05","2017-06-05","2017-06-09","교통행정과","처리완료","변산면"
44,"가로등 불이 들어오지 않습니다","전라북도 부안군 변산면 마포리 산 12-3깜깜해요*  *(1/1) G: 2018/03/16 17:04:09G:  *","2018-03-20",,"2018-03-29","부안읍","처리완료","부안읍"
45,"금마초등학교 앞 횡단보도 방지턱 설치바랍니다.","이번에 자녀를 금마면 금마초등학교에 입학시킨 학부모입니다.초등학교 등하교시 도보로 횡단보도를 이용하는데 초등학교 앞 횡단보도에 방지턱이 없는 관계로 차량 속도가 매우빨라어린이 혼자 등하교시 위험성이 매우 높습니다.  면사무소에서 학교방향으로 방지턱이 있으나 높이가 매우 낮아 속도줄이는데는 효과가 없어 보입니다.횡단보도 앞,뒤로 방지턱을 추가로 요청드립니다. ","2017-03-24","2017-03-24","2017-03-28","교통행정과","처리완료","변산면"
46,"존경하는 황정수 군수님 이 글을 봐주세요.","<> 보트트레일러 번호판 미부착 및 횡단보도의 상습적인 불법주차격포항이라 도로교통법 적용 안된다는 이야기 하지 마시고 과태료 처분및 가능한 모든 처분 해주시길 바랍니다. 정보공개청구를 통해 실제 이행여부를 확인하고 있으니 반드시 담당자가 기재하신대로 실제 처리하여 주시기 바랍니다. (1/3) A : 2017.10.06 08:49:35 (2/3) A : 2017.10.06 08:50:22 (3/3) A : 2017.10.06 08:50:30 A :  : I :  .[ (02-2195-1129~30)]","2018-04-13","2018-04-13","2018-04-23","자치행정과","처리완료","우전2길"
47,"(SPP-1706-2200252)반사경 방향 조정 요청 * 첨부파일촬영시간 안내(안전","전라북도 부안군 상서면 용서리 183-1가로등 불이 안들어와요","2017-06-22",,"2017-06-26","건설교통과","처리완료","부안읍"
48,"어양동 커피명가 근처","안녕하세요수고를 끼치지 않으려 홈폐이지 등을 찾아 보았으나 잘 찾지를 못해서 이렇게 연락드립니다.왕궁 축산단지 온수리 소재 휴폐업 축사를 소유하고 있습니다.1. 금년에도 관에서 매입을 하시는지2. 매입절차는 어떻게 되는지3. 홈폐이지 등에 계시가 되어 있는 곳이 있으면 위치가 어디인지 등간단히 형식없이 알려주시면 감사드리겠습니다. 문자로도 답변 가능합니다. 감사합니다.","2016-02-29","2016-02-29","2016-03-09","도로관리과","처리완료","상서면"
49,"상수도누수신고","익산역 역무실 옆에 있는 삼성전자TV 화면비율도 안맞고 화질도 디지털이 아닙니다.리모컨으로 간단히 조절 가능해 보이는데두달넘게 방치되어 있습니다.","2016-03-06","2016-03-06",,,"처리완료","부안읍"
50,"(SPP-1808-1900073)부안에서 하서면 가는길에 도로 파손도가 심합니다. *","전라북도 부안군 행안면 역리 713-44부안에서 하서면 가는길에 도로 파손도가 심합니다.*  *(1/1) G: 2018/08/19 08:07:56G:  *","2018-08-19",,"2018-08-28","건설교통과","처리완료","계화면"
51,"‘비상대피로’ 표지 부착·활용을 통한 인명피해 최소화 및 재난안전도 제고 방안","익산시 평동로에 신축공사중인 아파트 공사장의 소음민원 입니다소음기준치 이하의 소음도 계속하여 든는다면 그리 유쾌한 일은 아닐것 입니다.어제는 휴일입니다. 아파트 신축공사와 관련없는 시민들도 중장비 소음등 으로부터 조용한 휴일 보낼수 있게 해주십시요.","2018-03-15",,,"기획예산과","처리완료","인후3길"
52,"함열야구장은??","신동  무왕로  원대  사거리 근처  낚시아울렛  앞인도에  불법으로  설치되어  있는  불법광고물을신,"2016-06-09","2016-06-09","2016-06-13","체육진흥과","처리완료","부안읍"
53,"미소가애 아파트 관련","전라북도 부안군 부안읍 서외리 10-238모 0499횡단보도주정차*  *(1/1) C: 2018/05/11 16:54:11G:  *","2018-06-07",,"2018-06-18","민원소통과","처리완료","주산면"
54,"소음 진동 등 민원 입니다.","익산시 평동로(동산동 365번지)에 아파트 신축공사현장의 소음, 진동, 화약(발파)에 의한 공사의 민원 입니다.2017년 12월 중순 아파트 신축공사 시작 이후 현재 까지, 소음(장비 작동음, 덤프트럭 적재함 소음등), 비산먼지, 진동등으로 인근 주민들이 생활의 불편 및 불안감을 느끼고 생활하고 있는데,오늘(3.29) 오전 현장에서 화약을 사용을 위한 공사로 추정되는 작업을 하고 있는것을 보았습니다. 익산시 부터 심의 또는 허가를 득하였다 하여도, 화약을 사용한 공사는, 지금도 인근 주민들이 생활의 불편 및불안감을 느끼고 생활하고 있는데, 이는 아파트 신축공사현장의 편의만을 생각하는 공사입니다.`화약을 사용한 공사를 중지"""""""" 시켜주시길 바랍니다.           또한, 지난 3월 6일 익산시장님의 면담시 비산먼지, 소음, 진동에 대하여 """""""" 수시 점검, 확인 하겠다""""""""는녹색환경과 담당자분 수시 점검, 확인 하였는지 궁금 합니다.   소음, 진동을 기준치 이하도 계속하여 든고, 느끼면 그리 유쾌한 일은 아닐것이고,인근 주민들이 생활의 불편 및 불안감을 느끼고 생활할것 입니다.","2018-03-29","2018-03-29","2018-04-05","주택과","처리완료","죽산면"
55,"김동문구장 천정전구소등","전라북도 부안군 행안면 역리 1127회전교차로 파손 고쳐주세요*  *(1/1) C: 2018/02/23 10:58:56G:  *","2017-03-13","2017-03-13","2017-03-14","체육진흥과","처리완료","선화로10길"
56,"모현동 노인복지관 앞 불법현수막","일본에서 강진이 보도되고있습니다. 우리나라는 지진 위험국가에 속하지는.않지만 그렇다고 지진과 무관하진 않다고 합니다. 만약 지진이 발생한다면 대처지식과 훈련이 부족해 일본과는 다른 어마어마한 피해가 예상된다고합니다. 뉴스를 통해 알게된 전문가의 보고에 따르면 조선시대에 강진이 있었다는 기록이 있고 지진 예상지역으로 익산을 소개했습니다. 저는 이지역에는 살고있지 않지만 해외에서 지진피해지역 복구를 위해 봉사를 갔다가 처참한 상황을 직접 목도한 경험이 떠올라 조심스럽게 글을 올립니다. 허황된 이야기로 들린다 해도 준비된 대처에 관한 메뉴얼과 대피 훈련은 향후 안전에 도움될것으로 보입니다.","2016-04-13","2016-04-13","2016-04-26","도로관리과","처리완료","부안읍"
57,"프랑카드 철거","<부안시외버스터미널 화장실에 대해> 부안시외버스터미널 화장실이 칸칸이 좁고 냄새가 심하고 청소를 하는지 안하는지 바닥에 항상 물이 고여있어 불쾌하고 화장지가 없습니다.밖에서 지나가기만 해도 냄새가 나고 여자화장실 안에서 볼일 보고 나오는 모습이 밖에서 보이니 참 난감합니다. 칸칸이 좁은 것은 시간 걸린다 해도냄새와 청소와 화장지 구비를 개선해 주십시오. 민원 들어갈 때 뿐만 아니라 계속 관리해주십시오.~[  : 부안시외버스터미널 여자화장실 ][  : 1522-0660 ()]","2018-02-19",,"2018-02-20","보안면","처리완료","변산면"
58,"불법 주정차 단속","블랙박스 화면이 보일진 모르겟지만 성산에서 구암동 방면 가는길에 돌이 팅겨 유리창이 깨,"2016-06-04","2016-06-04","2016-06-07","직소민원팀","처리완료","부안읍"
59,"[생활불편신고]장애인 전용주차구역 불법주차","전라북도 부안군 행안면 신기리 24하천 유속 저해","2018-08-04",,"2018-08-09","주민행복지원실","처리완료","벚꽃3길"
60,"버스시간표","최미영씨, 안녕하세요?알려주신 경영개발과 유수길 주무관을 만났습니다.4월 28일 유수길 주무관, 대림 전동주차장, 평창 남소장, 한신 한사장, 감리하시는 분, 저희 부친과 함께 현장을 방문하였습니다.마침 이웃 마을에 수종갱신 사업이 끝나 저희 산 정상까지 임도가 연결되어 토취 할 산을 자세히 살펴 볼 수 있었습니다. 모두의 의견이 산 정상부에 토석이 많은데 그곳을 토취하지 않고, 산 아래 예전에 농사짓던 논전답 5천여평 정도의 평지를 무리하게 토취하여 경사진 돌산을 만드는 것은 안될일이라고 의견이 일치하였습니다. 7부능선 윗부분을 토취 할 수 있는 방법은 없는지요? 산 아래 평지는 토취를 신청하지않고 산 정상과 급경사인 허리부분만 신청하면 되지않을까요?그렇게만되면 토석량도 많이 나오고 넓은 평지를 무리하게 깍아 돌산을 만드는 어리석은 일은 하지않아도 되니까요.7부 능선 위를 토취 할 수 없는 이유를 알려주세요.유수길 주무관은 토사를 토석으로 다시 허가 받는 일을 국토부와 상의한다고 하였습니다.그러나 더 좋은 것은 정상부분을 토취 할 수 있으면 모든 문제가 해결됩니다.5월 1일 송은상 배상","2016-04-23","2016-04-23","2016-04-25","교통행정과","처리완료","부안읍"
61,"왕지평야,,혐오시설","(함열읍 와리 824-2도) 도로가 좁아 교행이 불가하고 통행에도 너무 위험해서 교행할 수 있도록 확장을 부탁드립니다.차량통행이 많고 농사용 트렉터가 이동시에는 아이들이나 동네 어르신들의 사고 위험이 많습니다.확인하시어 도로 확장을 부탁드립니다.","2018-05-04","2018-05-04","2018-05-04","주택과","처리완료","부안읍"
62,"[안전신고] (SPP-1604-1119381)계량기 원 밸브고장으로 원수를 잠금불가","1. 귀 군의 무궁한 발전을 기원합니다.2. 청구 금액 - 금. 칠십구만칠백삼십원(\790,730원) ※ 근거 : 2014년 개별공시가격결정: 부안군 재무 -7321 참조 3. 청구 취지 1) 부안군 계화면 창북리 산 18-1번지 주택 소유주 국 0 0씨의 소유주 본인이 2012.7월경 양도신고(계화면)로 주택분 부터 우규선 본인이 재산세를 납무 하여 오던중.. 2) 농촌주택사업 신청 (소재지: 장제면 창북리 18-1번지)으로 소재지면이 다른 계화면 창북리 18-1번지의 주택을 철거하여 세금납부 공부 확인이 않되어 철거를 하였는봐, 세금을 납부하고 있는 우규선의 재산상 손실이 있어 청구함.첨부:4. 공개청구답변3부 끝","2016-04-26",,"2016-04-26","맑은물사업소","처리완료","부안읍"
63,"하트 먹은 사람들 강력처벌원합니다","안녕하십니까익산시에서 현재 추진중인 익산시 상수원공급을 전주권광역상수도로 전환 하려고 하기에몇글자 적어 봅니다 왜? 익산시에서는 익산시장이 새로이 취임만 하면 익산시 상수원 공급을한국수자원공사의 전주권광역상수도로 전환하려고 하는지 매우 궁금할 따름입니다. 익산시민도 깨끗한 물을 먹고 싶습니다. 그러나 물값이 문제입니다. 익산시민의 생존권과 결부된 문제이므로 익산시 집행부에서 독단적으로 결정하지 말고주민투표로 결정하여 주시기를 바랍니다. 자세한 내용은 첨부자료로 대신합니다 감사합니다","2016-10-08","2016-10-08","2016-10-12","축산과","처리완료","보안면"
